h_months,n,mean_abs(median - snb),mean(median - snb),snb_inside_68_rate,snb_inside_90_rate,mean_width_68,mean_width_90,mean_p_below_0,mean_p_above_2
3,50,0.3496331432295346,-0.06122979164363754,0.74,0.94,1.2529905147077114,1.9953570731435974,0.40511565215117895,0.10781821082645017
6,49,0.43583165223275655,-0.05928953275038481,0.7142857142857143,0.8979591836734694,1.3499058336376843,2.2234056489123355,0.3849469024201006,0.09966691866009186
9,48,0.4551430710074871,-0.11061476632620741,0.7708333333333334,0.9583333333333334,1.8837551563449473,3.0068365948875133,0.3871061498709825,0.06921661398682662
12,47,0.4892271733128694,-0.14380711137436822,0.8936170212765957,0.9787234042553191,1.9062509193661983,2.937388299677279,0.3638144680374933,0.07962010768017003
overall,194,0.4313296529636394,-0.09296453456290717,0.7783505154639175,0.9432989690721649,1.5917987231876336,2.531444005635655,0.38555956710161454,0.089376969525787
