"CubeId";"snbmonagg"
"PublishingDate";"2025-08-21 09:00"

"Date";"D0";"D1";"Value"
"1994-04";"VV";"GM2";"12.40661726"
"1994-04";"VV";"GM3";"5.94181904"
"1994-05";"VV";"GM1";"5.85381554"
"1994-05";"VV";"GM2";"11.43239586"
"1994-05";"VV";"GM3";"6.26024917"
"1994-06";"VV";"GM1";"5.30992648"
"1994-06";"VV";"GM2";"10.34165795"
"1994-06";"VV";"GM3";"6.00680447"
"1994-07";"VV";"GM1";"5.13530552"
"1994-07";"VV";"GM2";"9.29535615"
"1994-07";"VV";"GM3";"4.83439408"
"1994-08";"VV";"GM1";"3.99291631"
"1994-08";"VV";"GM2";"8.17738632"
"1994-08";"VV";"GM3";"4.28270469"
"1994-09";"VV";"GM1";"4.67730862"
"1994-09";"VV";"GM2";"8.09339718"
"1994-09";"VV";"GM3";"4.46028051"
"1994-10";"VV";"GM1";"1.56621504"
"1994-10";"VV";"GM2";"6.15941522"
"1994-10";"VV";"GM3";"3.65340747"
"1994-11";"VV";"GM1";"3.66224035"
"1994-11";"VV";"GM2";"6.49299273"
"1994-11";"VV";"GM3";"3.67828367"
"1994-12";"VV";"GM1";"3.52214242"
"1994-12";"VV";"GM2";"4.83250226"
"1994-12";"VV";"GM3";"3.72725296"
"1995-01";"VV";"GM1";"3.94793926"
"1995-01";"VV";"GM2";"2.63871347"
"1995-01";"VV";"GM3";"2.58578007"
"1995-02";"VV";"GM1";"2.55948751"
"1995-02";"VV";"GM2";"1.45316064"
"1995-02";"VV";"GM3";"1.42613826"
"1995-03";"VV";"GM1";"3.065805"
"1995-03";"VV";"GM2";"1.22988536"
"1995-03";"VV";"GM3";"1.0828166"
"1995-04";"VV";"GM1";"3.93224531"
"1995-04";"VV";"GM2";"1.7613392"
"1995-04";"VV";"GM3";"0.73476816"
"1995-05";"VV";"GM1";"5.41514639"
"1995-05";"VV";"GM2";"2.72615393"
"1995-05";"VV";"GM3";"1.78315438"
"1995-06";"VV";"GM1";"5.55052857"
"1995-06";"VV";"GM2";"3.38956924"
"1995-06";"VV";"GM3";"1.57113505"
"1995-07";"VV";"GM1";"7.35061938"
"1995-07";"VV";"GM2";"5.16500289"
"1995-07";"VV";"GM3";"2.38180196"
"1995-08";"VV";"GM1";"9.31340731"
"1995-08";"VV";"GM2";"6.66496904"
"1995-08";"VV";"GM3";"3.06039941"
"1995-09";"VV";"GM1";"8.2531472"
"1995-09";"VV";"GM2";"6.54416484"
"1995-09";"VV";"GM3";"2.83477835"
"1995-10";"VV";"GM1";"11.14892985"
"1995-10";"VV";"GM2";"8.59423951"
"1995-10";"VV";"GM3";"3.16456007"
"1995-11";"VV";"GM1";"11.32353885"
"1995-11";"VV";"GM2";"9.43590042"
"1995-11";"VV";"GM3";"2.9275794"
"1995-12";"VV";"GM1";"9.7819015"
"1995-12";"VV";"GM2";"9.25810056"
"1995-12";"VV";"GM3";"2.88708978"
"1996-01";"VV";"GM1";"10.89598483"
"1996-01";"VV";"GM2";"13.31565944"
"1996-01";"VV";"GM3";"4.92778455"
"1996-02";"VV";"GM1";"13.40782923"
"1996-02";"VV";"GM2";"14.92043597"
"1996-02";"VV";"GM3";"5.79226907"
"1996-03";"VV";"GM1";"16.02559949"
"1996-03";"VV";"GM2";"16.32283327"
"1996-03";"VV";"GM3";"7.29581891"
"1996-04";"VV";"GM1";"15.6857405"
"1996-04";"VV";"GM2";"16.42083864"
"1996-04";"VV";"GM3";"7.75926615"
"1996-05";"VV";"GM1";"11.82727618"
